,mmsi
1266,241054000
1267,477114300
1268,565032000
1269,441337000
1270,538007539
1271,636019904
1272,372791000
1273,312681000
1274,352946000
1275,356720000
1276,636017107
1277,211256150
1278,356012000
1279,567001010
1280,477717400
1281,372693000
1282,371619000
1283,538007980
1284,538007241
1285,548907000
1286,477744200
1287,259732000
1288,538004434
1289,538004774
1290,371422000
1291,636021502
1292,305803000
1293,511100711
1294,477302100
1295,431792000
1296,636018158
1297,538007691
1298,356180000
1299,636019568
1300,373487000
1301,354197000
1302,255806085
1303,477423200
1304,477401700
1305,563090400
1306,574003160
1307,370615000
1308,563000700
1309,538008220
1310,636012794
1311,477881900
1312,311070400
1313,477046800
1314,538005464
1315,355002000
1316,563061300
1317,319153600
1318,636092976
1319,620766000
1320,477809800
1321,538005156
1322,355095000
1323,567556000
1324,563584000
1325,525100468
1326,371245000
1327,538007150
1328,248269000
1329,563905000
1330,566073000
1331,563083400
1332,567001810
1333,477135200
1334,636018336
1335,357891000
1336,636017559
1337,311000541
1338,258097000
1339,273359470
1340,248251000
1341,371844000
1342,353628000
1343,636015671
1344,567015000
1345,477730900
1346,440023000
1347,305784000
1348,477842700
1349,372938000
1350,636092840
1351,566204000
1352,374137000
1353,538006097
1354,354794000
1355,414727000
1356,355703000
1357,566786000
1358,636015896
1359,636015312
1360,636015629
1361,367535950
1362,215480000
1363,563090500
1364,370395000
1365,636015149
1366,352840000
1367,636018374
1368,477214800
1369,255805580
1370,563205000
1371,477167800
1372,636018354
1373,255806496
1374,538007674
1375,229712000
1376,538007145
1377,636019256
1378,574001170
1379,352097000
1380,636017696
1381,574000450
1382,538007552
1383,414062000
1384,373797000
1385,636018714
1386,351187000
1387,405000183
1388,212582000
1389,311000382
1390,312694000
1391,373932000
1392,636018908
1393,356352000
1394,354327000
1395,353894000
1396,563140500
1397,538010111
1398,412118000
1399,477622500
1400,566157000
1401,548612000
1402,538004462
1403,354323000
1404,255806101
1405,229988000
1406,244726000
1407,636017308
1408,620552000
1409,518100912
1410,538008485
1411,235116731
1412,210638000
1413,636018693
1414,374982000
1415,414165000
1416,352986134
1417,256213000
1418,416428000
1419,351913000
1420,422031700
1421,477924000
1422,636017900
1423,244850075
1424,477220600
1425,373402000
1426,477765600
1427,209425000
1428,538005814
1429,574408000
1430,567050600
1431,249888000
1432,269056000
1433,232024278
1434,538006983
1435,477746900
1436,413223320
1437,422040600
1438,354001000
1439,304724000
1440,564169000
1441,636016854
1442,414740000
1443,566619000
1444,371471000
1445,538005957
1446,428002000
1447,567589000
1448,477767100
1449,574003870
1450,564058000
1451,255806054
1452,355696000
1453,538005946
1454,373949000
1455,538004675
1456,538007206
1457,567888888
1458,353378000
1459,357169000
1460,574327000
1461,356076000
1462,538004707
1463,212619000
1464,636092302
1465,414065000
1466,565290000
1467,477714400
1468,563066900
1469,477016200
1470,636019317
1471,538004339
1472,229622000
1473,414344000
1474,477276100
1475,506005200
1476,563145300
1477,636020859
1478,548629500
1479,240006000
1480,212131000
1481,354120000
1482,477002300
1483,636017469
1484,373840000
1485,352383000
1486,354214000
1487,563487000
1488,538003467
1489,636019390
1490,538006126
1491,374706000
1492,352001011
1493,235068025
1494,636017533
1495,371678000
1496,255806079
1497,538007141
1498,563131600
1499,563161400
1500,372370000
1501,477213800
1502,357981000
1503,405000307
1504,636021006
1505,511635000
1506,351435000
1507,311000315
1508,357093000
1509,477001800
1510,538004203
1511,477642200
1512,215197000
1513,477652500
1514,255805681
1515,538005619
1516,355632000
1517,563082900
1518,357262000
1519,538003558
1520,372305000
1521,525113011
1522,441399000
1523,538008993
1524,574000160
1525,352898703
1526,477020200
1527,357547000
1528,636012808
1529,235117932
1530,357486000
1531,564204000
1532,355106000
1533,538007704
1534,441773000
1535,636018017
1536,538008236
1537,256631000
1538,244022000
1539,370763000
1540,538006938
1541,422036100
1542,352978240
1543,538008811
1544,311000730
1545,477717700
1546,506014200
1547,636020993
1548,525800162
1549,636018597
1550,412344000
1551,636021126
1552,355502000
1553,354928000
1554,371543000
1555,356375000
1556,209799000
1557,636092268
1558,636019864
1559,312816000
1560,255806448
1561,477861600
1562,563156300
1563,563102200
1564,477713100
1565,372789000
1566,356534000
1567,311052200
1568,477347800
1569,574004260
1570,563478000
1571,477078500
1572,352650000
1573,249160000
1574,477250400
1575,563032800
1576,374348000
1577,477798900
1578,574778000
1579,477535900
1580,441698000
1581,215217000
1582,215165000
1583,538003221
1584,563025700
1585,636014418
1586,374898000
1587,538003561
1588,477641300
1589,311001132
1590,244129000
1591,305060000
1592,511100210
1593,373733000
1594,370524000
1595,564830000
1596,457796000
1597,311000537
1598,477372200
1599,240272000
1600,574004690
1601,477742600
1602,477369100
1603,636015961
1604,405000375
1605,636021873
1606,255806115
1607,353484000
1608,477137500
1609,355835000
1610,352614000
1611,209721000
1612,477621600
1613,574003310
1614,374265000
1615,566866000
1616,636091486
1617,371323000
1618,565253000
1619,354421000
1620,477855200
1621,357174000
1622,477139800
1623,538007481
1624,636018364
1625,636016338
1626,373738000
1627,538006711
1628,351224000
1629,355890000
1630,373913000
1631,311044100
1632,565050000
1633,565385000
1634,371888000
1635,636016834
1636,636016730
1637,525003244
1638,352828000
1639,477067700
1640,477464200
1641,477947100
1642,538008897
1643,413701060
1644,413243000
1645,353862000
1646,374321000
1647,477197600
1648,352001395
1649,477112200
1650,538007820
1651,538003729
1652,538007685
1653,311000427
1654,356881000
1655,566819000
1656,305056000
1657,373107000
1658,566211000
1659,354968000
1660,636017196
1661,477939700
1662,215328000
1663,311061600
1664,209004000
1665,354858000
1666,373746000
1667,636019343
1668,413215160
1669,311000080
1670,304010228
1671,372180000
1672,636019411
1673,636017156
1674,538002666
1675,374248000
1676,636016895
1677,354806000
1678,477043800
1679,565106000
1680,477390300
1681,511100702
1682,374119000
1683,352955000
1684,370489000
1685,636018629
1686,229762000
1687,538008751
1688,636014927
1689,538007717
1690,373073000
1691,538006813
1692,477832900
1693,371441000
1694,256427000
1695,636019587
1696,538006519
1697,305859000
1698,567109000
1699,477133500
1700,304090000
1701,371874000
1702,311000980
1703,477311400
1704,255805676
1705,566798000
1706,477390400
1707,355801000
1708,370928000
1709,414772000
1710,351495000
1711,477097400
1712,538007899
1713,636012905
1714,567574000
1715,305222000
1716,312620000
1717,636015897
1718,622121413
1719,373121000
1720,372598000
1721,566796000
1722,351522000
1723,311064700
1724,538007433
1725,354367000
1726,416023000
1727,533170679
1728,210092000
1729,563118100
1730,370062000
1731,352688000
1732,371206000
1733,477441800
1734,357075000
1735,371976000
1736,538007449
1737,414733000
1738,353649000
1739,244810443
1740,352630000
1741,574357000
1742,538006970
1743,636018204
1744,371504000
1745,229454000
1746,373766000
1747,477399100
1748,538009444
1749,370957000
1750,352978264
1751,256011000
1752,538009782
1753,441424000
1754,538010048
1755,636018984
1756,477105400
1757,567444000
1758,566805000
1759,636016672
1760,351148000
1761,538007142
1762,417222405
1763,374809000
1764,229910000
1765,477899100
1766,311000732
1767,477638600
1768,374177000
1769,538005096
1770,373297000
1771,356335000
1772,219185000
1773,636092343
1774,563120900
1775,477504900
1776,235110509
1777,574000510
1778,636012796
1779,566817000
1780,574004590
1781,574004150
1782,351653000
1783,574004660
1784,352980847
1785,244014000
1786,636015850
1787,477353500
1788,525100459
1789,538004345
1790,574920000
1791,636014557
1792,548932000
1793,352573000
