Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2020)","FOB (BAHT)(Oct 2020)","Quantity (Jan - Oct 2020)","FOB (BAHT)(Jan - Oct 2020)"
2563,10,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",100368,5393748,1444154,82264902
2563,10,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",158829,7780627,2422328,137431663
2563,10,2,BE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",6250,550403,376923,24704236
2563,10,2,CA,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",685,54925,210629,13401479
2563,10,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,10004,591865
2563,10,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,8594,598089
2563,10,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",118110,6612458,1248594,72973651
2563,10,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",52612,3588186,880500,52190131
2563,10,2,HK,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",0,0,288,18191
2563,10,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,28500,2017033
2563,10,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",30048,1488639,238891,12812044
2563,10,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",0,0,38540,2981499
2563,10,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",0,0,50690,4882352
2563,10,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",300,39224,64464,6446446
2563,10,2,MA,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,3090,23630
2563,10,2,MM,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",30000,360003,30000,360003
2563,10,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",6317663,168001154,85042919,2942287053
2563,10,2,US,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,1634,73211
