Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2020)","FOB (BAHT)(Feb 2020)","Quantity (Jan - Feb 2020)","FOB (BAHT)(Jan - Feb 2020)"
2563,2,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",15190,251872,15190,251872
2563,2,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",46800,740635,64080,1224472
2563,2,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",100037874,3483134182,181671730,6352490212
2563,2,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",98000,3344028,98005,3344155
2563,2,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",43513,1206882,43513,1206882
2563,2,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,41045,1062515
2563,2,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",814012,39037095,1630027,76651409
2563,2,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,5004,441294
2563,2,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",65576580,838773582,157905268,1964276408
2563,2,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",3271875,47167898,4608089,64426689
2563,2,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",5229708,64704390,16539569,198655913
2563,2,2,CA,10063091,004,KGM,"Parboiled rice 5%  (KGM)",2018000,26982308,2074994,27714861
2563,2,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",29305076,698162557,54420577,1273005303
2563,2,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",488652,12315442,1316298,34585016
2563,2,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,124500,1936405
2563,2,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",453065,9564040,763135,15606433
2563,2,2,AE,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",3,90,25015,434430
2563,2,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",23970595,325733422,102965025,1303475558
2563,2,2,FR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",19000,277815,25600,603806
2563,2,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",78828716,1041721347,187490721,2423100937
2563,2,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",2619396,38023863,6601280,96539246
2563,2,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1624131,25131426,2973767,45558063
2563,2,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",45169,1455669,123297,3889084
2563,2,2,AE,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",0,0,361977,4632284
2563,2,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",1218250,22344031,1930250,35072838
2563,2,2,DE,10063099,090,KGM,"Other (KGM)",2834,485665,5049,850446
